"Colin","3.562946"
"Colin","2.729698"
"Colin","2.167853"
"Colin","3.77981"
"Colin","7.426499"
"Colin","9.501125"
"Colin","2.442366"
"Colin","2.816217"
"Colin","6.372921"
"Colin","5.590801"
"Colin","3.485922"
"Colin","2.843847"
"Colin","3.663345"
"Colin","3.168729"
"Colin","2.713237"
"a","2.84304"
"w","2.896291"
"w","3.336872"
"w","2.457092"
"w","2.412471"
"adam","5.364016"
"adam","25.104382"
"adam","26.663636"
"a","11.86444"
"w","12.608414"
"wa","17.825601"
"adam","9.39956"
"adam","16.491731"
"adam","10.628628"
"w","31.810697"
"w","12.699759"
"w","9.22712"
"w","13.259665"
"abc","3.13671"
"w","6.882516"
